,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
NORTH VALLEY ,SHASTA          ,GIRVAN-1101                 ,103401101,FUSE         ,2073,20190212,2305,20190221,0709,319266,"12,004",Distribution Circuit      ,3rd Party                   ,Customer Equipment                   ,1,"12,004",40.47888,-122.66325,LD SIDE OF 2073                                                                                     ,"Overcast,Fog,Snow;32-90 F                                       ","Conductor, Overhead         ","Broken, wire on ground      ",19-0026238,OH,Sus,Tier 2   
CENTRAL COAST,KING CITY       ,LOS COCHES-1102             ,182151102,FUSE         ,8883,20190628,0736,20190701,1349,432924,"4,693",Distribution Circuit      ,3rd Party                   ,"Aircraft, crop dusting               ",7,448,36.38132,-121.29778,TUCKER/ 7867/ 831-682-1744: 8883 fuses                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0072973,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,CHANNEL-1101                ,163071101,OCB          ,1101/2                                            ,20160119,0754,20160121,1931,1386804,"3,577",Distribution Circuit      ,3rd Party                   ,Other                                ,702,"146,374",37.95536,-121.33247,"METROVICH, MIKE: tower crossing s/w of sw 2715                                                      ","Overcast,Fog,Rain;32-90 F                                       ","Pole - Tower, steel         ","Broken, wire on ground      ",16-0006193,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,METTLER-1110                ,163701110,FUSE         ,456647,20170217,1332,20170219,2353,1696002,"3,501",Distribution Circuit      ,3rd Party                   ,Thrown Object                        ,2,"7,002",38.09027,-121.31119,2 SPANS W/OF 456647                                                                                 ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0022550,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,PHILO-1102                  ,042601102,FUSE         ,5421,20180919,0733,20180921,1410,177171,"3,277",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ",18,"11,436",39.13940,-123.50384,2ND & 3RD SPAN LD SIDE OF 531                                                                       ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0081140,OH,Sus,Tier 2   
STOCKTON     ,DELTA           ,HERDLYN-1102                ,163741102,FUSE         ,8069,20190526,0802,20190528,1221,390639,"3,139",Distribution Circuit      ,3rd Party                   ,Other                                ,2,"6,278",37.76458,-121.58447,8 NW/OF 8069                                                                                        ,"Partly Cloudy,Drizzle;32-90 F                                   ","Conductor, Overhead         ","Broken, wire on ground      ",19-0057770,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,ROB ROY-2104                ,083692104,FUSE         ,11303,20190518,1612,20190520,1721,384499,"2,949",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,6,"16,518",37.03026,-121.78447,MTR 1010426919                                                                                      ,"Overcast,Rain;32-90 F                                           ",Pole-Wood                   ,"Broken, wire on ground      ",19-0053720,OH,Sus,Tier 3   
YOSEMITE     ,YOSEMITE        ,MENDOTA-1102                ,252311102,RECLOSER     ,3330,20150425,1623,20150427,1310,1225036,"2,687",Distribution Circuit      ,3rd Party                   ,"Contact with High Voltage, 3rd party ",982,"136,694",36.74835,-120.38678,1ST HARD TAP EAST OF MTR 1005639716                                                                 ,Strong winds;32 - 90 F                                          ,"Conductor, Overhead         ","Broken, wire on ground      ",15-0029578,OH,Sus,Non 2/3  
SACRAMENTO   ,COLUSA          ,MERIDIAN-1101               ,062541101,RECLOSER     ,3002,20170303,1614,20170305,1207,1718872,"2,633",Distribution Circuit      ,3rd Party                   ,"Tree - cutting, 3rd party            ",415,"49,607",39.14267,-121.90285,1 SS OF MTR # R99839                                                                                ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0028230,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,EAST NICOLAUS-1101          ,152151101,FUSE         ,8211,20160305,2200,20160307,1548,1419954,"2,508",Distribution Circuit      ,3rd Party                   ,Other                                ,10,"25,080",38.87378,-121.54263,2 E/OF FUSE 8211                                                                                    ,"Overcast,Rain,Strong Winds;32-90 F                              ","Conductor, Overhead         ","Broken, wire on ground      ",16-0018363,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,GIFFEN-1103                 ,253151103,RECLOSER     ,9325,20181224,2237,20181226,1439,246823,"2,402",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,83,"18,196",36.54368,-120.31583,MTR# 1005536845; 2SP S/ OF R635                                                                     ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0110590,OH,Sus,Non 2/3  
HUMBOLDT     ,FORTUNA         ,RIO DELL-1102               ,192251102,TRANSFORMER  ,114464041123,20170406,0153,20170407,1731,1745188,"2,378",Transformer only          ,3rd Party                   ,Other                                ,1,"2,378",40.44611,-123.99045,MTR#1008279540                                                                                      ,Clear;32-90 F                                                   ,Service conductor           ,"Broken, wire on ground      ",17-0036912,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,EAST STOCKTON-1101          ,163131101,RECLOSER     ,14196,20170218,0624,20170219,2110,1698979,"2,326",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,322,"21,265",37.97336,-121.23425,"SORIA, W // 3080: 5709 HWY 26                                                                       ","Overcast,Fog;32-90 F                                            ",Pole-Wood                   ,"Broken, wire on ground      ",17-0022896,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,PLAINFIELD-1101             ,063441101,OCB          ,1101/2                                            ,20180616,1317,20180618,0352,110780,"2,315",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,954","299,489",38.61823,-121.79349,7/W/O 3967 &  wire down  5/W/OF 12792                                                               ,Clear;32-90F                                                    ,Connector or Splice (OH)    ,"Broken, wire on ground      ",18-0051627,OH,Sus,Non 2/3  
KERN         ,KERN            ,TEJON-1103                  ,252931103,OCB          ,3445,20170407,1946,20170409,0950,1751829,"2,284",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,167,"51,008",35.01980,-118.95475,ACCIDENT OUTSIDE TEJON SUB                                                                          ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",17-0038110,OH,Sus,Non 2/3  
KERN         ,KERN            ,TEJON-1102                  ,252931102,OCB          ,1102/2                                            ,20170407,1943,20170409,0919,1751770,"2,256",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,835,"193,136",35.01980,-118.95482,"PATRICK,DAN_661-208-0562: @ TEJON SUB                                                               ",Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",17-0038116,OH,Sus,Non 2/3  
HUMBOLDT     ,FORTUNA         ,NEWBURG-1131                ,192151131,FUSE         ,6133,20170406,0020,20170407,1300,1745019,"2,200",Distribution Circuit      ,3rd Party                   ,Other                                ,12,"26,400",40.54825,-124.13047,7 SPANS LD SIDE                                                                                     ,"Strong Winds,Clear;32-90 F                                      ","Conductor, Overhead         ","Broken, wire on ground      ",17-0036887,OH,Sus,Non 2/3  
PENINSULA    ,SKYLINE         ,DALY CITY-1105              ,022641105,FUSE         ,13905,20190607,0913,20190608,2008,400534,"2,095",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,4,"6,438",37.68072,-122.46228,1030 EL CAMINO REAL                                                                                 ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",19-0064161,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,STOCKTON A-1108             ,162371108,FUSE         ,18737,20190423,0414,20190424,1400,366013,"2,026",Distribution Circuit      ,3rd Party                   ,"Fire, house or bldg.                 ",2,"4,052",37.94523,-121.29331,D7643                                                                                               ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0045062,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,SANGER-1106                 ,252351106,OCB          ,R9550                                             ,20160724,0354,20160725,1349,1514970,"1,953",Distribution Circuit      ,3rd Party                   ,"Fire, house or bldg.                 ","2,606","6,010",36.70777,-119.61074,MTR # 1006911206; 11TH ST W/O K ST                                                                  ,Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,16-0052073,OH,Sus,Non 2/3  
STOCKTON     ,DELTA           ,STOCKTON A-1101             ,162371101,OCB          ,1102/2                                            ,20190423,0313,20190424,1039,365905,"1,886",Distribution Circuit      ,3rd Party                   ,"Fire, house or bldg.                 ","1,342","779,770",37.94735,-121.28892,D7643                                                                                               ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0045062,OH,Sus,Non 2/3  
